action,label,category,enabled,notes
status_request,Status / Native Bridge Check,debug,1,Safe diagnostic action only; confirmed stable path because it performs no actor creation
mp_status_probe_request,MP Probe / Script Availability,mp_access,1,Logs NET multiplayer state and checks common freemode/deathmatch/ctf script paths without launching them
mp_enable_multiplayer_request,MP Enable Multiplayer Native,mp_access,1,Calls NET_ENABLE_MULTIPLAYER(true) and logs session/host state; use before launch attempts
mp_enter_networking_ui_request,MP Open Networking UI Probe,mp_access,1,Attempts known UI_ENTER networking layer names; this avoids replacing the crashing networking.sc.xml in content.rpf
mp_start_core_threads_request,MP Start Core Threads,mp_access,1,Attempts multiplayer_system_thread and multiplayer_update_thread only if DOES_SCRIPT_EXIST reports a matching path
mp_launch_freemode_request,MP Launch Freemode,mp_access,1,Attempts freemode script path variants only if DOES_SCRIPT_EXIST reports a matching path
mp_launch_deathmatch_request,MP Launch Deathmatch,mp_access,1,Attempts deathmatch script path variants only if DOES_SCRIPT_EXIST reports a matching path
mp_launch_ctf_request,MP Launch CTF,mp_access,1,Attempts ctf_base_game script path variants only if DOES_SCRIPT_EXIST reports a matching path
dismiss_ai_guest_request,Dismiss Tracked Actors,cleanup,1,Safe cleanup action for any previously tracked CodeRED actors
spawn_selected_npc_request,Spawn Disabled - Raw Native Crashes,spawn,0,CONFIRMED CRASH TRIGGER; do not call raw CREATE_ACTOR_IN_LAYOUT from the menu until ASI source has hard guards and a safer vehicle/gringo lane
regroup_near_player_request,Regroup Near Player,behavior,0,Disabled because it depends on spawned actor handles after the spawn crash trigger
idle_spawned_request,Idle Spawned Actors,behavior,0,Disabled because it depends on spawned actor handles after the spawn crash trigger
follow_player_request,Follow Player,behavior,0,Disabled because spawned actor handles are not trusted yet
guard_position_request,Stand Guard,behavior,0,Disabled because spawned actor handles are not trusted yet
wander_spawned_request,Wander Spawned Actors,behavior,0,Disabled because spawned actor handles are not trusted yet
make_spawned_lawmen_request,Make Spawned Actors Lawmen,faction,0,Disabled because spawned actor handles are not trusted yet
side_lawman_immunity_request,Join Lawman Side,faction,0,Disabled because spawned actor handles are not trusted yet
side_gang_immunity_request,Join Gang Side,faction,0,Disabled because spawned actor handles are not trusted yet
restore_player_faction_request,Restore Player Faction,faction,0,Disabled until spawn/task lane is rebuilt safely
attack_nearest_hostile_request,Attack Nearest Hostile,combat,0,Disabled because combat/world-scan should not run until safe spawn handles are proven
